,stage,match,gameday,time,stadium,home_score,away_score,weather,temperature,humidity,y
1,100,1,16,1404,19694,1,0,500,3.8,0.66,18250
2,100,1,16,1404,40000,1,0,600,12.4,0.43,24316
3,100,1,16,1404,21000,2,3,600,11.3,0.41,17066
4,100,1,16,1406,50000,1,0,700,11.4,0.52,29603
5,100,1,16,1404,39232,0,0,600,22.5,0.32,25353
6,100,1,16,1405,24490,0,0,600,14.5,0.33,11283
7,100,1,16,1705,26530,1,0,700,7.1,0.65,18920
8,100,1,16,1904,15600,0,1,700,9.2,0.57,11437
9,100,1,17,1404,15349,3,3,600,12.1,0.46,13082
10,100,2,16,1404,40728,0,1,500,13.3,0.86,19010
11,100,2,16,1404,63700,1,0,500,7.2,0.79,41069
12,100,2,16,1403,72327,0,2,500,6.4,0.8,19488
13,100,2,16,1403,42300,1,2,500,11,0.68,26294
14,100,2,16,1404,47816,2,1,700,17.1,0.7,30764
15,100,2,16,1504,20281,2,1,500,11.5,0.95,13231
16,100,2,16,1704,15165,2,1,500,15.1,0.95,10653
17,100,2,16,1706,30132,2,1,600,17.2,0.7,14036
18,100,2,16,1904,49970,3,2,500,7.6,0.83,21757
19,100,3,16,1303,19694,4,1,700,8.9,0.57,11831
20,100,3,16,1304,50000,2,0,700,10.6,0.6,14349
21,100,3,16,1404,26530,0,1,500,10.3,0.77,14777
22,100,3,16,1404,30132,0,2,600,12.4,0.51,11839
23,100,3,16,1504,24490,1,0,600,12.7,0.3,10611
24,100,3,16,1603,39232,1,2,600,20.6,0.35,20192
25,100,3,16,1904,15349,2,1,600,8.6,0.52,12209
26,100,3,17,1603,20000,2,1,600,6.4,0.58,10603
27,100,3,17,1903,21000,1,2,700,4.6,0.56,15072
28,100,4,16,1303,15600,1,1,700,18,0.73,79360
29,100,4,16,1404,49970,0,1,500,16.3,0.82,16229
30,100,4,16,1503,63700,1,1,500,10,0.65,25743
31,100,4,16,1504,15165,1,0,600,12.8,0.62,90420
32,100,4,16,1504,19628,1,2,500,12.4,0.49,95980
33,100,4,16,1603,42300,1,1,500,7.1,0.64,16836
34,100,4,16,1834,20281,1,0,600,10.9,0.47,14216
35,100,4,16,1903,72327,0,0,700,9.4,0.5,22126
36,100,4,16,1904,24490,3,0,600,10.1,0.25,77190
37,100,5,16,1405,39232,0,2,600,20.8,0.32,14023
38,100,5,16,1403,19694,2,2,700,6.1,0.53,13147
39,100,5,16,1403,40000,1,0,600,9.6,0.26,13824
40,100,5,16,1404,30132,0,1,600,12,0.28,12709
41,100,5,16,1504,42300,0,0,700,3.4,0.63,15854
42,100,5,16,1603,15600,0,3,700,9.8,0.2,81800
43,100,5,16,1704,40728,1,3,600,9.3,0.31,23507
44,100,5,16,1904,50000,4,1,600,3.4,0.76,12318
45,100,5,17,1603,26530,0,1,600,12.9,0.35,20996
46,100,6,16,1303,15349,2,3,500,10.2,0.93,12318
47,100,6,16,1304,49970,1,2,500,10.3,0.87,19279
48,100,6,16,1403,15454,1,1,500,11.6,0.8,71010
49,100,6,16,1504,63700,2,0,500,10.4,0.78,25894
50,100,6,16,1604,20281,3,2,500,14,0.76,16334
51,100,6,16,1603,40000,3,1,600,15.4,0.7,12896
52,100,6,16,1834,24490,1,0,600,15.5,0.54,97350
53,100,6,16,1904,21000,3,2,600,11.8,0.43,17134
54,100,6,16,1904,19628,0,1,600,13.6,0.43,91540
55,100,7,16,1404,39232,2,3,600,22.3,0.36,11119
56,100,7,16,1403,15165,1,0,600,19.9,0.53,11965
57,100,7,16,1404,30132,3,1,600,22.3,0.47,10859
58,100,7,16,1405,50000,1,1,700,19.9,0.65,11123
59,100,7,16,1503,40728,3,2,700,13.5,0.5,12110
60,100,7,16,1705,17000,1,0,500,18,0.78,54320
61,100,7,16,1833,15600,2,0,700,12.1,0.58,12709
62,100,7,16,1904,19694,4,0,600,10.4,0.55,17192
63,100,7,17,1903,21000,3,1,700,15.3,0.79,85480
64,100,8,16,1304,49970,0,1,600,24.6,0.47,22405
65,100,8,16,1303,20000,1,2,600,27.5,0.34,18138
66,100,8,16,1404,15349,1,1,600,18.9,0.75,10351
67,100,8,16,1503,26530,1,4,600,24.1,0.5,19895
68,100,8,16,1534,40728,5,0,600,15.4,0.71,17583
69,100,8,16,1603,15600,2,1,600,21.4,0.65,84350
70,100,8,16,1603,72327,3,1,600,23,0.55,21054
71,100,8,16,1603,42300,0,1,600,20.6,0.39,24637
72,100,8,16,1904,19628,3,2,600,19,0.74,12183
73,100,9,18,1403,19620,1,0,700,16.3,0.7,95960
74,100,9,18,1404,30132,3,0,600,23.3,0.59,11672
75,100,9,18,1503,26530,4,3,500,18.5,0.88,15671
76,100,9,18,1604,50000,0,1,700,20.1,0.65,17826
77,100,9,18,1604,24490,1,1,700,20,0.6,18113
78,100,9,18,1905,63700,1,2,500,19.1,0.9,44422
79,100,9,18,1901,20281,3,0,700,19.1,0.9,18393
80,100,9,13,1904,54224,0,1,600,21.2,0.62,25813
81,100,9,13,1903,21000,2,2,700,23.3,0.62,10840
82,100,10,17,1304,19694,0,1,700,16.9,0.68,18525
83,100,10,17,1303,72327,2,1,600,27.9,0.47,24183
84,100,10,17,1305,19628,1,2,600,22.6,0.33,16446
85,100,10,17,1503,15349,2,5,600,17.6,0.85,12875
86,100,10,17,1703,15600,1,0,700,18.3,0.54,11554
87,100,10,17,1605,50889,2,2,600,16.6,0.73,22193
88,100,10,17,1703,40000,2,3,600,19,0.48,20512
89,100,10,17,1904,40728,0,0,700,16.8,0.75,10626
90,100,10,17,1904,42300,0,2,600,13.4,0.68,21827
91,100,11,16,1304,39232,0,1,600,19.9,0.49,10816
92,100,11,16,1403,15165,3,0,600,21.9,0.31,13555
93,100,11,16,1404,24490,1,1,600,26.1,0.29,78330
94,100,11,16,1503,26530,0,2,700,18.8,0.27,16054
95,100,11,16,1504,50000,1,3,600,20.5,0.48,12073
96,100,11,16,1534,20281,1,1,600,20.1,0.45,15891
97,100,11,16,1604,63700,1,1,600,17.8,0.26,31818
98,100,11,16,1834,30132,0,1,600,14.4,0.42,14825
99,100,11,16,1904,21000,1,1,600,12.1,0.54,15253
100,100,12,16,1403,72327,0,0,600,24.7,0.4,25241
101,100,12,16,1404,50000,3,2,700,22.3,0.53,12613
102,100,12,16,1503,42300,1,6,600,20.6,0.45,21920
103,100,12,16,1534,63700,1,0,600,24.4,0.36,35877
104,100,12,16,1603,15600,0,2,600,23.6,0.41,93040
105,100,12,16,1704,40728,7,0,600,21.6,0.5,13915
106,100,12,16,1833,19694,4,0,600,19.1,0.43,16317
107,100,12,16,1904,47816,1,2,700,20.4,0.36,19643
108,100,12,17,1504,49970,3,2,700,22.7,0.35,25803
109,100,13,15,1933,40000,0,1,700,19.4,0.66,16657
110,100,13,15,1903,21000,2,3,700,17.4,0.69,82180
111,100,13,16,1404,19620,1,3,600,16.3,0.61,68700
112,100,13,16,1404,26530,3,2,600,25.9,0.28,16058
113,100,13,16,1404,20281,0,0,600,23.4,0.57,16556
114,100,13,16,1603,15165,4,0,700,21.4,0.56,10752
115,100,13,16,1704,30132,1,2,700,24.4,0.4,22766
116,100,13,16,1834,15349,2,0,600,20.4,0.39,12931
117,100,13,16,1904,49970,1,1,700,20,0.56,33836
118,100,14,16,1333,19694,4,1,500,19.1,0.9,13554
119,100,14,16,1834,40728,2,3,500,21.3,0.92,15010
120,100,14,16,1903,15600,2,4,700,20.7,0.96,90250
121,100,14,16,1904,72327,1,0,700,21.9,0.84,23273
122,100,14,16,1903,42300,1,0,700,22.7,0.64,23797
123,100,14,16,1905,15165,1,3,500,21.9,0.94,10612
124,100,14,16,1903,21000,1,2,500,24.3,0.93,14977
125,100,14,16,1904,19628,1,4,500,24.2,0.94,11538
126,100,14,16,1904,24490,0,1,500,21.3,0.87,96030
127,100,15,16,1403,39232,0,4,600,22.3,0.59,14759
128,100,15,16,1804,49970,2,0,600,22.8,0.72,22685
129,100,15,16,1804,20281,1,1,700,22.6,0.8,17696
130,100,15,16,1835,15349,1,1,600,21.1,0.77,13987
131,100,15,16,1835,50000,0,0,700,21.7,0.85,15304
132,100,15,16,1904,63700,0,0,600,22.3,0.71,39545
133,100,15,16,1904,26530,0,0,700,22.9,0.7,20590
134,100,15,16,1903,20000,2,0,700,24.4,0.49,16862
135,100,15,16,1904,30132,1,0,700,24.3,0.6,16727
136,100,16,16,1803,72327,1,1,600,24.7,0.63,26133
137,100,16,16,1834,19694,2,2,600,20.4,0.62,18722
138,100,16,16,1903,15600,1,0,600,22.9,0.71,12147
139,100,16,16,1904,26530,0,1,600,23.8,0.63,18056
140,100,16,16,1903,42300,1,1,600,25.7,0.59,35506
141,100,16,16,1903,15165,3,1,600,23.6,0.85,13923
142,100,16,16,1904,21000,2,6,500,24.5,0.87,14006
143,100,16,16,1903,47816,1,1,500,24.3,0.91,36723
144,100,16,16,1903,24490,1,0,500,26.1,0.89,10345
145,100,17,16,1403,19620,0,1,600,25.7,0.57,76730
146,100,17,16,1803,63700,4,3,500,22.1,0.86,30047
147,100,17,16,1804,20281,0,0,600,26.3,0.78,14133
148,100,17,16,1834,40728,1,0,500,19.5,0.93,12787
149,100,17,16,1835,49970,3,2,700,20.8,0.94,24633
150,100,17,16,1904,54224,1,2,500,21.2,0.93,25459
151,100,17,16,1903,15454,1,1,500,22.2,0.85,97510
152,100,17,16,1905,30132,0,1,600,24.8,0.58,15062
153,100,17,16,1905,50000,2,0,600,21.5,0.82,12769
154,100,18,16,1803,20281,3,5,600,27,0.8,14092
155,100,18,16,1903,15600,2,2,600,29.9,0.68,96350
156,100,18,16,1903,42300,0,0,600,24.9,0.82,33998
157,100,18,16,1905,15165,4,1,700,26.9,0.87,11367
158,100,18,16,1903,40000,0,0,700,27.8,0.8,24397
159,100,18,16,1903,21000,1,2,700,27.9,0.77,14966
160,100,18,16,1904,47816,0,1,700,28.7,0.75,26534
161,100,18,16,1904,50000,3,0,500,23.6,0.96,11585
162,100,18,16,1904,24490,1,0,700,26.7,0.9,13891
163,100,19,16,1604,19620,2,1,600,27.4,0.59,83600
164,100,19,16,1803,63700,2,0,600,31.3,0.62,28142
165,100,19,16,1834,19694,1,1,600,27.6,0.78,14611
166,100,19,16,1834,40728,2,2,700,29,0.77,15496
167,100,19,16,1834,49970,0,2,600,29.5,0.69,23430
168,100,19,16,1905,15349,4,1,600,27.8,0.85,11844
169,100,19,16,1903,26530,4,1,600,29.1,0.68,14716
170,100,19,16,1904,72327,3,0,600,28.8,0.72,24187
171,100,19,16,1904,30132,1,1,600,28.2,0.76,17471
172,100,20,16,1804,63700,2,2,700,29.5,0.7,34267
173,100,20,16,1834,19694,2,2,700,25.9,0.85,17935
174,100,20,16,1903,42300,1,1,600,29.2,0.64,25050
175,100,20,16,1904,15165,2,2,600,28.4,0.73,12972
176,100,20,16,1903,20000,5,1,600,29.8,0.65,10034
177,100,20,16,1903,21000,3,1,600,29.6,0.62,12964
178,100,20,16,1904,19628,4,0,600,30.4,0.62,82260
179,100,20,16,1904,50000,1,2,600,29.8,0.58,16448
180,100,20,16,1904,24490,2,0,600,30.3,0.53,12844
181,100,21,16,1403,39232,2,1,600,24.3,0.63,11945
182,100,21,16,1803,20281,3,2,700,25.7,0.86,16877
183,100,21,16,1834,40728,2,1,700,26.9,0.87,14649
184,100,21,16,1903,15600,1,2,500,28,0.81,11057
185,100,21,16,1904,15349,1,1,700,27.6,0.89,13478
186,100,21,16,1903,26530,1,2,700,28.1,0.72,12509
187,100,21,16,1903,15454,3,2,700,28.1,0.82,11992
188,100,21,16,1903,21000,2,2,500,25.4,0.95,18578
189,100,21,16,1904,30132,1,0,600,27.6,0.8,14161
190,100,22,16,1403,19620,2,4,600,25.1,0.67,81170
191,100,22,16,1834,49970,0,1,600,27.8,0.7,18342
192,100,22,16,1904,19694,0,0,700,26.9,0.86,17715
193,100,22,16,1904,63700,2,1,700,28,0.76,44131
194,100,22,16,1903,72327,2,2,600,28.3,0.74,33584
195,100,22,16,1903,42300,0,2,600,29.3,0.72,32014
196,100,22,16,1904,15165,4,3,600,25.1,0.89,10939
197,100,22,16,1904,40000,0,5,700,26.1,0.89,30354
198,100,22,16,1905,24490,0,1,700,27,0.71,11933
199,100,23,16,1804,50889,0,2,600,26.8,0.77,23188
200,100,23,16,1834,40728,0,1,600,28.4,0.74,12729
201,100,23,16,1903,15600,1,3,600,29.3,0.67,11993
202,100,23,16,1904,15349,0,3,600,27.9,0.77,13248
203,100,23,16,1904,26530,0,1,700,29.1,0.59,18915
204,100,23,16,1904,21000,7,2,600,29.6,0.63,15056
205,100,23,16,1905,19628,2,0,600,29.1,0.75,14336
206,100,23,16,1904,30132,0,0,600,29.1,0.69,13471
207,100,23,16,1905,50000,0,1,600,28.2,0.67,23656
208,100,24,16,1403,39232,0,2,600,23.5,0.71,10783
209,100,24,16,1803,63700,1,1,600,27.5,0.64,39814
210,100,24,16,1834,49970,3,1,700,25,0.86,26950
211,100,24,16,1904,19694,2,1,700,26.4,0.79,17159
212,100,24,16,1904,40728,1,0,600,26.3,0.84,13798
213,100,24,16,1903,42300,0,1,600,28.9,0.51,24601
214,100,24,16,1903,15165,1,1,600,26.8,0.77,11115
215,100,24,16,1903,20000,1,0,600,26.9,0.73,14193
216,100,24,16,1904,24490,4,1,600,25.4,0.63,19729
217,100,25,16,1833,15400,1,0,600,27.8,0.62,10012
218,100,25,16,1904,15349,3,1,600,26.3,0.84,10445
219,100,25,16,1903,26530,2,2,600,27.6,0.71,18088
220,100,25,16,1903,72327,1,2,600,27.4,0.73,34954
221,100,25,16,1904,20281,1,1,600,27.2,0.76,13714
222,100,25,16,1903,21000,1,1,700,24,0.87,17381
223,100,25,16,1915,47816,0,2,700,24.7,0.9,24544
224,100,25,16,1904,45000,1,2,700,25.8,0.59,13091
225,100,25,16,1904,50000,2,1,500,24,0.89,25352
226,100,26,16,1402,19620,0,5,600,21.2,0.78,74740
227,100,26,16,1534,19694,2,1,600,23.3,0.67,15509
228,100,26,16,1403,40728,1,2,600,25.5,0.73,16845
229,100,26,16,1604,15165,0,0,600,25.9,0.69,11118
230,100,26,16,1804,19628,3,2,700,26.3,0.55,15302
231,100,26,16,1604,63700,0,5,600,24.3,0.69,46046
232,100,26,16,1904,49970,1,2,700,23.7,0.76,34822
233,100,26,16,1904,20000,1,2,700,25.2,0.64,15870
234,100,26,16,1904,24490,3,1,500,18.8,0.71,12651
235,100,27,16,1603,15600,0,0,700,27.8,0.65,11316
236,100,27,16,1904,54224,1,2,700,25.3,0.74,26106
237,100,27,16,1405,49970,2,1,600,28.1,0.55,22165
238,100,27,16,1904,26530,1,0,600,25.4,0.64,20909
239,100,27,16,1403,42300,5,0,600,25.9,0.58,22079
240,100,27,16,1304,20281,3,1,600,28.2,0.69,12131
241,100,27,16,1603,21000,2,2,500,23.8,0.78,14163
242,100,27,16,1403,30132,2,3,700,25.1,0.66,12868
243,100,27,16,1333,50000,4,1,700,22.5,0.67,15463
244,100,28,16,1904,63700,1,2,600,22.6,0.8,30692
245,100,28,16,1404,72327,0,0,600,27,0.56,36412
246,100,28,16,1504,42300,0,0,700,23,0.54,23849
247,100,28,16,1534,50889,0,1,600,24.9,0.56,28745
248,100,28,16,1304,19628,3,2,600,26.7,0.38,10013
249,100,28,16,1904,19694,2,1,700,20.4,0.74,18003
250,100,28,16,1503,40728,5,1,500,24.6,0.83,15118
251,100,28,16,1503,15349,1,0,700,25.1,0.71,10769
252,100,28,16,1503,20000,0,0,700,26.5,0.41,87930
253,100,29,16,1603,19620,0,0,700,13.8,0.77,72080
254,100,29,16,1304,19694,3,2,600,19.3,0.52,17711
255,100,29,16,1503,15600,1,1,600,21.3,0.51,11944
256,100,29,16,1503,26530,2,3,600,20.8,0.5,18779
257,100,29,16,1403,72327,4,0,600,21.5,0.5,21310
258,100,29,16,1504,20281,1,1,600,22,0.56,14772
259,100,29,16,1804,19628,1,1,600,20.2,0.52,14268
260,100,29,16,1905,50000,1,2,600,15.6,0.86,24839
261,100,29,16,1504,17000,1,3,600,24.1,0.37,11851
262,100,30,16,1704,40728,1,2,600,17.9,0.54,14125
263,100,30,16,1403,63700,0,0,600,20.1,0.45,32090
264,100,30,16,1703,42300,0,2,600,18.8,0.36,23254
265,100,30,16,1404,15165,1,1,600,21.8,0.44,10753
266,100,30,16,1904,30132,3,3,600,21.5,0.48,16317
267,100,30,16,1404,15349,1,4,600,18.8,0.52,12167
268,100,30,16,1704,49970,5,0,600,17,0.54,20696
269,100,30,16,1403,40000,1,1,600,21.4,0.53,22332
270,100,30,16,1403,21000,1,1,600,25.8,0.43,17617
271,100,31,13,1904,19694,1,1,700,12.8,0.57,17493
272,100,31,13,1903,15600,0,0,600,16.3,0.43,12021
273,100,31,13,1903,26530,4,2,600,16.7,0.44,17870
274,100,31,13,1900,20281,0,1,600,15.3,0.41,87100
275,100,31,13,1903,30132,1,2,600,15.9,0.37,87550
276,100,31,13,1904,50000,3,0,600,11.1,0.73,13204
277,100,31,13,1904,17000,3,2,600,13.8,0.59,81550
278,100,31,13,1903,15349,2,2,600,12.9,0.77,10389
279,100,31,13,1903,20000,1,0,700,13.8,0.59,79590
280,100,32,16,1703,39232,2,3,600,20.3,0.39,10266
281,100,32,16,1404,40728,3,3,700,17.3,0.73,15035
282,100,32,16,1406,63700,2,0,700,13.6,0.68,41296
283,100,32,16,1704,49970,0,1,500,10.1,0.76,17454
284,100,32,16,1403,72327,1,2,500,17.7,0.8,22647
285,100,32,16,1403,42300,0,1,500,11.4,0.63,25738
286,100,32,16,1704,20281,1,3,500,17.7,0.95,12391
287,100,32,16,1405,15165,0,2,500,18.1,0.98,89780
288,100,32,16,1703,19628,1,3,500,16.4,0.72,97650
289,100,33,16,1734,39232,0,2,600,21.9,0.33,19587
290,100,33,16,1434,19694,0,1,600,7.1,0.4,18526
291,100,33,16,1733,15600,2,0,600,10,0.58,12126
292,100,33,16,1733,15349,1,0,600,8.2,0.72,12406
293,100,33,16,1733,26530,2,1,600,10.2,0.51,19916
294,100,33,16,1433,40000,1,2,600,14.5,0.28,23892
295,100,33,16,1433,21000,2,2,700,13.3,0.46,19393
296,100,33,16,1436,50000,4,1,700,10.3,0.8,32724
297,100,33,16,1435,24490,3,1,700,13.1,0.47,22116
298,100,34,16,1535,40728,2,0,700,6.7,0.57,19141
299,100,34,16,1534,63700,2,0,600,5.6,0.71,51879
300,100,34,16,1534,49970,6,2,600,5.6,0.65,30944
301,100,34,16,1533,72327,1,0,600,7.3,0.61,26642
302,100,34,16,1533,42300,4,1,500,5.3,0.52,28055
303,100,34,16,1534,20281,0,0,600,11.3,0.31,14729
304,100,34,16,1534,15165,2,1,600,10.8,0.46,14389
305,100,34,16,1534,47816,2,2,700,8.9,0.48,18487
306,100,34,16,1534,30132,0,1,600,10.3,0.4,22224
307,200,1,17,1305,12000,2,1,700,7.4,0.53,58170
308,200,1,17,1305,49970,2,0,700,7.4,0.49,12432
309,200,1,17,1504,17000,2,1,700,7.1,0.72,10169
310,200,1,17,1504,20000,2,2,500,10.3,0.68,33210
311,200,1,17,1504,20000,1,1,500,6.4,0.87,69810
312,200,1,17,1505,22563,2,1,500,9.3,0.93,73790
313,200,1,17,1505,40000,2,3,600,8.8,0.63,93790
314,200,1,17,1534,18500,2,0,700,7.1,0.48,11479
315,200,1,17,1605,15576,2,0,500,9.7,0.75,39260
316,200,1,17,1734,15100,2,1,700,5.4,0.68,90650
317,200,1,17,1734,10202,1,2,500,7.3,0.88,31600
318,200,2,17,1304,12000,1,0,700,9.8,0.58,26010
319,200,2,17,1303,15589,0,3,600,8.3,0.56,41480
320,200,2,17,1304,20010,0,1,600,10.8,0.49,42860
321,200,2,17,1303,20396,1,2,600,7.8,0.31,13098
322,200,2,17,1306,19637,3,0,700,7.4,0.64,60160
323,200,2,17,1303,10202,0,0,600,8.9,0.44,40090
324,200,2,17,1504,15135,1,3,500,7.4,0.66,42370
325,200,2,17,1605,49970,1,3,700,10.6,0.5,70200
326,200,2,17,1604,15454,0,0,600,10.1,0.54,70260
327,200,2,17,1604,32000,2,1,700,10.4,0.37,58170
328,200,2,17,1735,20588,2,0,500,3.4,0.72,80030
329,200,3,16,1304,21292,3,2,500,6.7,0.66,63150
330,200,3,16,1304,20588,2,0,700,15.6,0.76,29010
331,200,3,16,1304,16033,0,3,700,18.1,0.78,24770
332,200,3,16,1304,19637,0,1,600,14.9,0.75,35720
333,200,3,16,1404,20396,1,0,500,10.7,0.77,44710
334,200,3,16,1604,15100,3,1,500,8.7,0.84,36020
335,200,3,16,1606,25250,1,4,500,10.6,0.85,34700
336,200,3,16,1604,20000,0,0,500,12.7,0.66,18360
337,200,3,16,1833,20000,0,3,700,14.8,0.81,55760
338,200,3,16,1903,18500,3,0,500,8.8,0.88,69590
339,200,3,16,1904,17000,2,1,500,10,0.7,61610
340,200,4,18,1304,10328,1,0,600,14.6,0.28,43510
341,200,4,18,1304,21292,2,1,700,3.8,0.68,57360
342,200,4,18,1304,15135,0,0,700,12.1,0.25,29030
343,200,4,18,1303,22563,0,0,600,15.4,0.51,50690
344,200,4,18,1305,40000,1,0,700,15.8,0.33,71130
345,200,4,18,1604,15100,2,1,600,10.4,0.47,60650
346,200,4,18,1604,15576,3,0,600,11.3,0.36,35980
347,200,4,18,1603,10202,1,0,700,10.1,0.59,25580
348,200,4,18,1903,15589,0,0,600,7.9,0.66,24460
349,200,4,18,1903,15454,0,0,600,8.7,0.46,35490
350,200,4,18,1903,16033,2,1,700,6.1,0.8,27810
351,200,5,16,1304,12000,0,0,500,8.1,0.77,29520
352,200,5,17,1304,25250,2,3,700,4.4,0.77,16920
353,200,5,17,1304,20588,2,1,600,7.3,0.95,47950
354,200,5,17,1303,20000,2,1,600,9.4,0.48,57620
355,200,5,17,1303,22563,4,0,600,11.6,0.33,40170
356,200,5,17,1403,15454,0,2,600,12,0.3,60710
357,200,5,17,1404,15576,1,1,700,8.8,0.34,28380
358,200,5,17,1603,18500,3,0,600,11.9,0.28,83370
359,200,5,17,1603,49970,2,0,700,13.4,0.2,30080
360,200,5,17,1604,32000,3,3,600,9.4,0.3,46870
361,200,5,17,1804,20000,0,2,700,12.1,0.32,25390
362,200,6,17,1304,21292,0,0,700,6.6,0.69,61790
363,200,6,17,1303,15589,2,1,600,13.6,0.4,47690
364,200,6,17,1303,20396,0,3,600,7.8,0.34,85290
365,200,6,17,1305,19934,3,2,600,18.5,0.31,72240
366,200,6,17,1303,16033,1,2,700,8.3,0.5,20860
367,200,6,17,1303,15000,3,0,600,14.1,0.27,39300
368,200,6,17,1505,15135,1,1,700,9.6,0.37,68910
369,200,6,17,1604,10328,1,2,600,14,0.35,62880
370,200,6,17,1603,17000,1,2,600,13.7,0.16,94860
371,200,6,17,1604,19637,1,2,600,11.8,0.36,51210
372,200,6,17,1605,40000,1,0,600,13,0.33,80820
373,200,7,17,1304,12000,0,1,600,14.4,0.18,53730
374,200,7,17,1303,15589,2,0,600,13.8,0.3,29990
375,200,7,17,1303,49970,2,0,600,18.2,0.24,31100
376,200,7,17,1303,20000,1,0,600,15.8,0.4,78770
377,200,7,17,1304,15576,4,2,600,17.5,0.26,30350
378,200,7,17,1303,10202,1,0,600,21.6,0.21,32300
379,200,7,17,1603,15454,1,2,600,11.1,0.36,50140
380,200,7,17,1604,15100,2,0,600,11,0.49,70350
381,200,7,17,1603,17000,1,0,600,13.7,0.33,96510
382,200,7,17,1604,25250,1,2,600,15.3,0.28,26960
383,200,7,17,1604,20000,0,1,600,14.5,0.3,34080
384,200,8,17,1304,21292,1,0,600,18.4,0.41,64600
385,200,8,17,1308,15135,1,0,600,16.9,0.45,24880
386,200,8,17,1304,10328,0,3,600,16.2,0.5,36820
387,200,8,17,1304,15000,0,3,600,22.9,0.39,54720
388,200,8,17,1405,20588,1,0,600,20,0.34,87410
389,200,8,17,1603,18500,0,0,600,13.8,0.48,90560
390,200,8,17,1604,15100,3,2,700,15.5,0.42,71110
391,200,8,17,1604,20000,1,0,700,18.1,0.51,29200
392,200,8,17,1603,16033,0,0,600,16.6,0.46,25260
393,200,8,17,1603,22563,1,1,600,19.6,0.3,48780
394,200,8,17,1605,40000,0,0,600,16.6,0.54,76070
395,200,9,17,1305,12000,1,0,700,12.8,0.71,39990
396,200,9,17,1303,15589,1,1,700,9.9,0.89,26070
397,200,9,17,1304,17000,1,1,700,15,0.48,74510
398,200,9,17,1304,15576,0,0,700,19.9,0.63,19500
399,200,9,17,1304,10202,0,1,600,21.3,0.57,32860
400,200,9,17,1403,15454,2,1,700,12.5,0.63,73290
401,200,9,17,1433,20010,1,2,700,12.9,0.59,65440
402,200,9,17,1603,20396,1,0,500,9.6,0.79,67400
403,200,9,17,1604,25250,2,3,500,17,0.6,20030
404,200,9,17,1603,20000,2,0,700,17.5,0.73,58510
405,200,9,17,1804,19637,0,4,500,14.7,0.84,21030
406,200,10,15,1904,21292,2,1,700,11.4,0.81,50360
407,200,10,15,1904,15135,0,2,700,16.9,0.87,14470
408,200,10,15,1903,18500,1,1,700,17.1,0.92,62350
409,200,10,15,1904,10328,0,1,500,16.5,0.9,38590
410,200,10,15,1904,15100,1,2,700,17.6,0.82,48500
411,200,10,15,1904,20000,0,2,600,17.9,0.39,35400
412,200,10,15,1904,20588,1,2,600,16,0.29,50210
413,200,10,15,1904,19637,0,2,600,17.8,0.36,27100
414,200,10,15,1903,22563,1,3,600,14.9,0.67,32620
415,200,10,15,1903,32000,0,0,600,17.8,0.53,31980
416,200,10,15,1933,16033,1,4,600,15.8,0.5,22450
417,200,11,18,1304,12000,2,1,700,22.7,0.71,42220
418,200,11,18,1303,15589,0,1,700,23.8,0.64,38270
419,200,11,18,1304,15454,2,4,700,22.9,0.51,71180
420,200,11,18,1306,40000,0,0,600,18.1,0.77,12595
421,200,11,18,1403,15576,2,1,700,17.8,0.82,35200
422,200,11,18,1504,20396,0,0,700,21.6,0.41,12154
423,200,11,18,1503,10202,1,2,500,16.5,0.93,21120
424,200,11,18,1604,17000,1,1,700,23.1,0.41,10070
425,200,11,18,1604,25250,1,0,700,23.8,0.47,34660
426,200,11,18,1603,20000,2,1,500,20.6,0.74,71390
427,200,11,18,1704,49970,0,2,700,21.6,0.63,61140
428,200,12,18,1304,21292,2,2,500,17.3,0.79,70020
